origin,destination,count,Cat
ch,it,13,69,Pos
ch,jp,0,1,Pos
ch,jo,0,2,Pos
ch,ke,0,6,Pos
ch,kr,0,Pos
ch,lv,0,12,Pos
ch,lb,0,3,Pos
ch,lt,0,1,Pos
ch,lu,0,39,Pos
ch,my,0,3,Pos
ch,mt,0,4,Pos
ch,mx,0,12,Pos
ch,ma,0,1,Pos
ch,nl,2,22,Pos
ch,nz,0,12,Pos
ch,ng,0,9,Pos
ch,no,0,9,Pos
ch,pa,0,15,Pos
ch,pe,0,1,Pos
ch,ph,0,2,Pos
ch,pl,1,73,Pos
ch,pt,1,93,Pos
ch,qa,0,1,Pos
ch,ro,0,45,Pos
ch,sa,0,2,Pos
ch,sn,0,1,Pos
ch,rs,0,42,Pos
ch,sg,0,18,Pos
ch,sk,0,46,Pos
ch,si,0,12,Pos
ch,za,0,26,Pos
ch,es,3,7,Pos
ch,se,0,9,Pos
ch,tw,0,6,Pos
ch,th,0,7,Pos
ch,tn,0,24,Pos
ch,tr,0,14,Pos
ch,ua,0,47,Pos
ch,ae,-1,18,Neg
ch,gb,1,65,Pos
ch,us,2,95,Pos
ch,vn,0,11,Pos
ci,be,0,2,Pos
ci,bj,0,85,Pos
ci,bf,0,44,Pos
ci,cm,0,55,Pos
ci,ca,-1,4,Neg
ci,fr,-11,11,Neg
ci,gh,1,58,Pos
ci,in,0,96,Pos
ci,ml,0,96,Pos
ci,ma,0,9,Pos
ci,ng,0,44,Pos
ci,sn,0,96,Pos
ci,tg,0,26,Pos
ci,tn,4,58,Pos
ci,gb,1,6,Pos
ci,us,4,6,Pos
cl,ar,1,47,Pos
cl,au,0,5,Pos
cl,be,0,2,Pos
cl,bo,0,3,Pos
cl,br,0,82,Pos
cl,ca,0,5,Pos
cl,cn,0,5,Pos
cl,co,0,6,Pos
cl,cr,0,4,Pos
cl,dk,0,2,Pos
cl,do,0,8,Pos
cl,ec,0,8,Pos
cl,fr,0,6,Pos
cl,de,0,19,Pos
cl,in,0,13,Pos
cl,ie,0,1,Pos
cl,it,0,6,Pos
cl,mx,0,6,Pos
cl,nl,0,6,Pos
cl,nz,0,3,Pos
cl,pa,0,15,Pos
cl,pe,0,1,Pos
cl,pt,0,4,Pos
cl,es,1,44,Pos
cl,se,0,Pos
cl,ch,0,3,Pos
cl,ae,0,2,Pos
cl,gb,0,4,Pos
cl,us,4,98,Pos
cl,uy,0,5,Pos
cl,ve,8,17,Pos
cm,be,0,45,Pos
cm,ca,-4,59,Neg
cm,cn,0,48,Pos
cm,ci,0,61,Pos
cm,fr,0,6,Pos
cm,ga,0,1,Pos
cm,de,0,61,Pos
cm,in,0,96,Pos
cm,ng,0,45,Pos
cm,sn,0,3,Pos
cm,za,1,22,Pos
cm,ae,-1,57,Neg
cm,gb,1,76,Pos
cm,us,4,56,Pos
cn,af,0,4,Pos
cn,al,0,5,Pos
cn,dz,0,Pos
cn,ao,0,1,Pos
cn,ar,0,2,Pos
cn,au,0,76,Pos
cn,at,0,Pos
cn,az,0,2,Pos
cn,bd,0,3,Pos
cn,by,0,Pos
cn,be,0,Pos
cn,br,0,2,Pos
cn,bg,0,1,Pos
cn,kh,0,1,Pos
cn,cm,0,1,Pos
cn,ca,0,95,Pos
cn,cl,0,1,Pos
cn,co,0,Pos
cn,cz,0,1,Pos
cn,dk,0,1,Pos
cn,eg,0,2,Pos
cn,et,0,2,Pos
cn,fi,0,4,Pos
cn,fr,0,33,Pos
cn,de,0,35,Pos
cn,gh,0,1,Pos
cn,gr,0,Pos
cn,hk,0,76,Pos
cn,hu,0,Pos
cn,in,0,11,Pos
cn,id,0,11,Pos
cn,ir,0,2,Pos
cn,iq,0,1,Pos
cn,ie,0,4,Pos
cn,il,0,1,Pos
cn,it,0,11,Pos
cn,jp,0,43,Pos
cn,kz,0,3,Pos
cn,ke,0,Pos
cn,kr,0,11,Pos
cn,kw,0,1,Pos
cn,lu,0,1,Pos
cn,my,0,1,Pos
cn,mx,0,2,Pos
cn,mn,0,2,Pos
cn,ma,0,Pos
cn,mm,0,5,Pos
cn,np,0,2,Pos
cn,nl,0,2,Pos
cn,nz,0,34,Pos
cn,ng,0,4,Pos
cn,no,0,1,Pos
